ID,Age,Education_level,Sexe,Country,Ethnicity,drug_names,Drug_uses
718,35-44,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
719,18-24,A quitté l'école à 16 ans,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
720,55-64,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
721,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours du mois dernier
722,35-44,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
723,55-64,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
725,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
726,25-34,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
730,25-34,A quitté l'école à 16 ans,Femme,Australie,Blanc,Amphet,Utilisé au cours de la dernière décennie
731,35-44,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
732,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours du mois dernier
734,35-44,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanche/Asiatique,Amphet,Utilisé au cours de la dernière décennie
735,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
736,25-34,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
737,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
738,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
740,25-34,Maitrise,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
741,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
743,45-54,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
749,35-44,A quitté l'école à 16 ans,Femme,Royaume-Uni,Blanc,Amphet,Utilisé le dernier jour
752,25-34,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
753,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
754,25-34,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
755,25-34,Doctorat,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
756,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
758,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,République d'Irlande,Blanc,Amphet,Utilisé le dernier jour
759,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
761,25-34,Diplôme universitaire,Masculin,Canada,Blanc,Amphet,Utilisé au cours de la dernière décennie
763,25-34,Diplôme universitaire,Femme,Australie,Blanc,Amphet,Utilisé le dernier jour
766,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
767,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
768,25-34,Maitrise,Masculin,Nouvelle-Zelande,Blanc,Amphet,Utilisé au cours de la dernière décennie
769,18-24,Certificat/diplôme professionnel,Femme,États-Unis,Autre,Amphet,Utilisé le dernier jour
770,25-34,Diplôme universitaire,Masculin,Australie,Blanc,Amphet,Utilisé au cours de la dernière décennie
771,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
773,45-54,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,utilisé la semaine dernière
774,45-54,Certificat/diplôme professionnel,Femme,Canada,Blanc,Amphet,Utilisé depuis une décennie
775,18-24,A quitté l'école à 18 ans,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
777,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
778,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanche/Asiatique,Amphet,Utilisé au cours du mois dernier
779,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Canada,Blanc,Amphet,Utilisé le dernier jour
780,45-54,A quitté l'école à 18 ans,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
781,18-24,Certificat/diplôme professionnel,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
783,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Autre,Amphet,Utilisé au cours de la dernière année
784,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
785,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,utilisé la semaine dernière
786,18-24,Maitrise,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
787,18-24,Certificat/diplôme professionnel,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
788,35-44,Certificat/diplôme professionnel,Masculin,Autres,Blanc,Amphet,Utilisé depuis une décennie
791,18-24,Diplôme universitaire,Masculin,Australie,Blanc,Amphet,Utilisé au cours de la dernière année
792,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
793,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,utilisé la semaine dernière
794,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
795,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
796,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
797,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
798,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
799,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
800,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
801,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Canada,Blanc,Amphet,Utilisé au cours de la dernière année
802,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
803,18-24,A quitté l'école à 18 ans,Masculin,République d'Irlande,Blanc,Amphet,Utilisé au cours du mois dernier
804,45-54,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
805,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
806,18-24,Diplôme universitaire,Femme,Canada,Blanc,Amphet,Utilisé au cours du mois dernier
807,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
810,18-24,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
813,45-54,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
815,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
816,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
817,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Canada,Blanc,Amphet,Utilisé au cours de la dernière décennie
819,45-54,Doctorat,Masculin,Australie,Blanc,Amphet,Utilisé au cours de la dernière année
820,25-34,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
822,18-24,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
826,18-24,Diplôme universitaire,Masculin,Australie,Blanc,Amphet,Utilisé le dernier jour
827,18-24,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
828,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
829,18-24,Diplôme universitaire,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
830,25-34,Doctorat,Femme,Australie,Blanc,Amphet,Utilisé au cours de la dernière année
831,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
832,18-24,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé le dernier jour
834,25-34,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
835,45-54,Doctorat,Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
837,18-24,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
839,45-54,Maitrise,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
842,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
843,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
844,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
845,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
848,18-24,Certificat/diplôme professionnel,Femme,Canada,Blanc,Amphet,Utilisé le dernier jour
849,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
850,18-24,A quitté l'école à 18 ans,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
853,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
854,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
855,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
857,18-24,A quitté l'école à 16 ans,Masculin,Canada,Mixte-Blanc/Noir,Amphet,Utilisé au cours du mois dernier
858,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
859,18-24,Certificat/diplôme professionnel,Masculin,États-Unis,Blanche/Asiatique,Amphet,utilisé la semaine dernière
860,25-34,A quitté l'école à 17 ans,Masculin,Canada,Blanc,Amphet,Utilisé le dernier jour
861,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
862,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Autres,Asiatique,Amphet,Utilisé le dernier jour
864,18-24,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
866,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,République d'Irlande,Blanc,Amphet,Utilisé depuis une décennie
868,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Canada,Blanc,Amphet,utilisé la semaine dernière
869,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
870,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
871,45-54,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
872,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
873,18-24,Maitrise,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
876,25-34,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
877,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Autre,Amphet,Utilisé le dernier jour
878,35-44,Certificat/diplôme professionnel,Masculin,États-Unis,Autre,Amphet,utilisé la semaine dernière
879,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Australie,Blanc,Amphet,Utilisé au cours de la dernière année
880,18-24,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
881,25-34,Maitrise,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
882,18-24,A quitté l'école avant 16 ans,Femme,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
883,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
884,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
885,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
886,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Autre,Amphet,Utilisé le dernier jour
887,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
889,18-24,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
892,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Autre,Amphet,Utilisé au cours de la dernière année
893,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,République d'Irlande,Blanc,Amphet,Utilisé le dernier jour
894,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
895,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
896,25-34,A quitté l'école à 17 ans,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
897,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
898,18-24,Certificat/diplôme professionnel,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
899,25-34,Maitrise,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
902,18-24,Diplôme universitaire,Masculin,Canada,Blanc,Amphet,Utilisé le dernier jour
904,25-34,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
905,18-24,A quitté l'école à 18 ans,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
907,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
908,25-34,Certificat/diplôme professionnel,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
909,35-44,Diplôme universitaire,Masculin,Australie,Blanc,Amphet,utilisé la semaine dernière
910,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Autre,Amphet,Utilisé au cours du mois dernier
911,18-24,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
913,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
917,25-34,A quitté l'école à 17 ans,Femme,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
918,18-24,A quitté l'école à 18 ans,Masculin,États-Unis,Mixte-Blanc/Noir,Amphet,Utilisé le dernier jour
919,25-34,A quitté l'école à 16 ans,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
921,18-24,A quitté l'école à 18 ans,Masculin,Canada,Blanc,Amphet,Utilisé au cours du mois dernier
923,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours du mois dernier
924,18-24,A quitté l'école avant 16 ans,Masculin,Australie,Blanc,Amphet,Utilisé au cours du mois dernier
927,18-24,A quitté l'école à 16 ans,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
928,18-24,Certificat/diplôme professionnel,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
930,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
931,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Autre,Amphet,utilisé la semaine dernière
932,35-44,A quitté l'école à 16 ans,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
933,25-34,Diplôme universitaire,Femme,Australie,Blanc,Amphet,Utilisé au cours de la dernière décennie
934,18-24,A quitté l'école à 17 ans,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
936,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
938,18-24,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,utilisé la semaine dernière
942,25-34,A quitté l'école à 18 ans,Femme,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
943,25-34,Certificat/diplôme professionnel,Masculin,États-Unis,Autre,Amphet,Utilisé au cours de la dernière décennie
944,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanche/Asiatique,Amphet,Utilisé au cours de la dernière année
945,25-34,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
947,18-24,A quitté l'école à 18 ans,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
948,25-34,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
949,25-34,A quitté l'école à 18 ans,Femme,Canada,Blanc,Amphet,Utilisé au cours de la dernière décennie
950,35-44,Certificat/diplôme professionnel,Masculin,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
951,18-24,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
952,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
953,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
956,18-24,Certificat/diplôme professionnel,Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
957,45-54,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
961,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
962,18-24,Certificat/diplôme professionnel,Masculin,Australie,Blanc,Amphet,Utilisé au cours de la dernière année
963,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
964,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
965,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
966,25-34,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
967,18-24,Maitrise,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
968,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
971,55-64,Doctorat,Masculin,Autres,Autre,Amphet,Utilisé depuis une décennie
972,35-44,Diplôme universitaire,Femme,Canada,Blanc,Amphet,Utilisé depuis une décennie
973,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Canada,Blanc,Amphet,Utilisé au cours du mois dernier
975,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
978,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière décennie
979,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours du mois dernier
980,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
981,25-34,Doctorat,Femme,États-Unis,Asiatique,Amphet,Utilisé depuis une décennie
983,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé le dernier jour
984,25-34,Diplôme universitaire,Femme,États-Unis,Blanc,Amphet,Utilisé depuis une décennie
985,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
986,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
987,18-24,Certificat/diplôme professionnel,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
989,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
990,25-34,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
991,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
992,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Australie,Blanc,Amphet,Utilisé au cours du mois dernier
993,55-64,Certificat/diplôme professionnel,Masculin,Autres,Blanc,Amphet,Utilisé depuis une décennie
994,25-34,Diplôme universitaire,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
995,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,utilisé la semaine dernière
997,18-24,Maitrise,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
999,25-34,Doctorat,Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
1000,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1002,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
1003,45-54,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Autres,Blanc,Amphet,Utilisé depuis une décennie
1006,18-24,A quitté l'école à 18 ans,Masculin,États-Unis,Mixte-Blanc/Noir,Amphet,Utilisé au cours de la dernière année
1009,45-54,Maitrise,Masculin,Autres,Blanc,Amphet,Utilisé le dernier jour
1010,18-24,A quitté l'école à 18 ans,Femme,Royaume-Uni,Blanc,Amphet,Utilisé le dernier jour
1013,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
1014,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
1015,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1016,45-54,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé le dernier jour
1018,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
1020,25-34,A quitté l'école à 18 ans,Masculin,Autres,Blanc,Amphet,Utilisé au cours du mois dernier
1021,35-44,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé le dernier jour
1022,18-24,Diplôme universitaire,Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1025,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
1026,18-24,A quitté l'école à 18 ans,Femme,États-Unis,Autre,Amphet,Utilisé le dernier jour
1029,35-44,Diplôme universitaire,Femme,États-Unis,Asiatique,Amphet,Utilisé au cours de la dernière décennie
1030,18-24,Maitrise,Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1031,18-24,Diplôme universitaire,Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
1032,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Australie,Blanc,Amphet,Utilisé au cours du mois dernier
1033,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière décennie
1034,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1035,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
1036,18-24,Certificat/diplôme professionnel,Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
1038,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours du mois dernier
1041,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1042,35-44,Maitrise,Femme,Royaume-Uni,Blanc,Amphet,Utilisé depuis une décennie
1044,25-34,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière année
1046,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,Royaume-Uni,Blanc,Amphet,Utilisé au cours de la dernière année
1048,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Masculin,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1051,18-24,"Quelques études collégiales ou universitaires, sans certificat ni diplôme",Femme,États-Unis,Blanc,Amphet,Utilisé au cours de la dernière année
1052,25-34,Doctorat,Masculin,Autres,Blanc,Amphet,Utilisé au cours de la dernière décennie
1054,18-24,A quitté l'école à 18 ans,Masculin,Canada,Blanc,Amphet,utilisé la semaine dernière
